AGE,SMIN1,SMAX1,GLMIN,GLMAX,CRIMPTS,TOTCHPTS,XCRHISSR,NUMDEPEN,NOCOUNTS,DRUGMIN,MONSEX,WEAPON,NEWEDUC,ZONE,DISTRICT,DISPOSIT,CITIZEN,FISCAL_YEAR,OFFGUIDE,SENTTOT_actual,SENTTOT_predicted,residual,NEWRACE,POC
38.0,0.0,120.0,37.0,46.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,57,1,1.0,2024,7,60.0,34.030779925369025,25.969220074630975,1.0,False
59.0,120.0,240.0,168.0,210.0,1.0,1.0,1.0,0.0,1,0,0.0,0,5.0,D,48,1,1.0,2021,7,132.0,146.2505101837484,-14.25051018374839,1.0,False
39.0,60.0,240.0,240.0,240.0,6.0,6.0,3.0,2.0,1,0,0.0,0,1.0,D,39,1,1.0,2021,7,240.0,238.06769221360113,1.9323077863988658,1.0,False
27.0,60.0,480.0,151.0,188.0,0.0,0.0,1.0,1.0,3,0,0.0,0,5.0,D,3,1,1.0,2022,7,120.0,89.57859956641953,30.421400433580473,3.0,True
46.0,60.0,240.0,70.0,87.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,57,1,1.0,2024,7,60.0,73.73696523078752,-13.736965230787519,1.0,False
34.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,4,1,1.0,2025,7,120.0,103.02701477709901,16.972985222900988,3.0,True
46.0,0.0,240.0,51.0,63.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,77,1,1.0,2023,7,41.0,39.18462582535299,1.8153741746470118,1.0,False
35.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,3,0,0.0,0,5.0,D,30,1,3.0,2024,7,108.0,129.28854923506105,-21.288549235061055,3.0,True
67.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,38,1,1.0,2024,7,108.0,94.35947288191288,13.640527118087121,1.0,False
47.0,60.0,240.0,168.0,210.0,0.0,0.0,1.0,0.0,2,0,0.0,0,5.0,D,80,3,1.0,2020,7,210.0,120.34332476498324,89.65667523501676,1.0,False
36.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,1.0,1,0,0.0,0,3.0,D,49,1,1.0,2021,7,102.0,74.08135171552871,27.91864828447129,1.0,False
31.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,2,0,0.0,0,3.0,D,85,1,1.0,2025,7,121.0,114.98969917313909,6.010300826860913,1.0,False
33.0,120.0,240.0,120.0,120.0,3.0,5.0,3.0,0.0,1,0,0.0,0,3.0,D,80,1,1.0,2020,7,120.0,142.0087225454984,-22.008722545498387,1.0,False
53.0,120.0,240.0,121.0,151.0,3.0,5.0,3.0,1.0,1,0,0.0,0,5.0,D,16,1,1.0,2021,7,133.0,123.09239490059474,9.90760509940526,1.0,False
33.0,60.0,240.0,168.0,210.0,0.0,0.0,1.0,1.0,2,0,0.0,0,1.0,D,66,1,1.0,2025,7,120.0,129.96992447630748,-9.969924476307483,1.0,False
24.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,41,1,1.0,2024,7,57.0,52.917439953094785,4.082560046905215,3.0,True
36.0,0.0,240.0,37.0,46.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,30,1,1.0,2020,7,24.0,35.70096739733495,-11.70096739733495,1.0,False
50.0,0.0,120.0,120.0,120.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,70,1,1.0,2021,7,24.0,88.09627383179422,-64.09627383179422,1.0,False
29.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,67,1,1.0,2021,7,65.0,49.503079655460866,15.496920344539134,1.0,False
54.0,120.0,240.0,120.0,135.0,3.0,3.0,2.0,0.0,1,0,0.0,0,3.0,D,10,1,1.0,2024,7,135.0,124.29233971639711,10.707660283602891,1.0,False
35.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,12,1,1.0,2024,7,60.0,52.93173402139548,7.068265978604522,1.0,False
68.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,2,0,0.0,0,6.0,D,65,1,1.0,2024,7,60.0,54.251452885296246,5.748547114703754,1.0,False
